name,product_id,sku,brand,price_current,price_old,discount_amount,installment,category,url,image_url,page
Xiaomi Redmi Pad 2 Pro 6/128 GB Gray,119741,TM-DG-TBQ-1105-TB-0843,,499.99,639.99,140.00,0% 12 ay,Planşetlər,https://mgstore.az/xiaomi-redmi-pad-2-pro-6-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0843_1-cdb07749.webp,1
Xiaomi Redmi Pad 2 4G 8/256 GB Graphite Gray,119080,TM-DG-TBQ-1105-TB-0841,,469.99,549.99,80.00,0% 6 ay,Planşetlər,https://mgstore.az/xiaomi-redmi-pad-2-4g-8-256-gb-graphite-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0841_1-ef60d9d7.webp,1
Xiaomi Redmi Pad 2 6/128 GB Graphite Gray,119079,TM-DG-TBQ-1105-TB-0840,,349.99,429.99,80.00,0% 6 ay,Planşetlər,https://mgstore.az/xiaomi-redmi-pad-2-6-128-gb-graphite-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0840_1-fe088e98.webp,1
Doogee T30 Max 12.4 8/512 GB LTE Black,118465,TM-DG-TBQ-1105-TB-0830,,699.99,859.99,160.00,0% 6 ay,Planşetlər,https://mgstore.az/doogee-t30-max-12-4-8-512-gb-lte-black,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0830_1-3f032a1e.webp,1
RedMagic Astra 16/512 GB StarFrost,118464,TM-DG-TBQ-1105-TB-0829,,1.899.99,2.299.99,400.00,0% 6 ay,Planşetlər,https://mgstore.az/redmagic-astra-16-512-gb-starfrost,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0829_1-02cce579.webp,1
Samsung Galaxy Tab A11+ (SM-X230N) Wi-Fi 6/128 GB Gray,117455,TM-DG-TBQ-1105-TB-0828,,349.99,449.99,100.00,0% 6 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-a11-sm-x230n-wifi-6-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0828_1.png,1
Samsung Galaxy Tab A11+ (SM-X236B) 5G 6/128 GB Gray,117454,TM-DG-TBQ-1105-TB-0827,,489.99,629.99,140.00,0% 6 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-a11-sm-x236b-5g-6-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0827_1.png,1
HUAWEI MatePad 12 X PaperMatte Wi-Fi 12/256 GB 53014KPV W/Keyboard White,116993,TM-DG-TBQ-1105-TB-0825,,1.199.99,1.399.99,200.00,0% 12 ay,Planşetlər,https://mgstore.az/huawei-matepad-12-x-papermatte-wi-fi-12-256-gb-53014kpv-white,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0825_10000-2f9021df.webp,1
OPPO Pad 3 8/256 GB OPD2406 Silver,116484,TM-DG-TBQ-1105-TB-0817,,849.99,999.99,150.00,0% 18 ay,Planşetlər,https://mgstore.az/oppo-pad-3-8-256-gb-opd2406-silver,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0817_1_1_.png,1
OPPO Pad SE 6/128 GB OPD2419 Twilight Blue,116483,TM-DG-TBQ-1105-TB-0816,,479.99,599.99,120.00,0% 12 ay,Planşetlər,https://mgstore.az/oppo-pad-se-6-128-gb-opd2419-twilight-blue,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0816_1.png,1
